COUNTY,COUNTY.CODE,STATE,STATE.CODE
Udaipur,IN-RJ-UD,Rajasthan,IN-RJ
East Sikkim,IN-SK-ES,Sikkim,IN-SK
North Sikkim,IN-SK-NS,Sikkim,IN-SK
South Sikkim,IN-SK-SS,Sikkim,IN-SK
West Sikkim,IN-SK-WS,Sikkim,IN-SK
Ariyalur,IN-TN-AR,Tamil Nadu,IN-TN
Chengalpattu,IN-TN-CP,Tamil Nadu,IN-TN
Chennai,IN-TN-CH,Tamil Nadu,IN-TN
Coimbatore,IN-TN-CO,Tamil Nadu,IN-TN
Cuddalore,IN-TN-CU,Tamil Nadu,IN-TN
Dharmapuri,IN-TN-DH,Tamil Nadu,IN-TN
Dindigul,IN-TN-DI,Tamil Nadu,IN-TN
Erode,IN-TN-ER,Tamil Nadu,IN-TN
Kallakurichi,IN-TN-KA,Tamil Nadu,IN-TN
Kancheepuram,IN-TN-KC,Tamil Nadu,IN-TN
Kanniyakumari,IN-TN-KK,Tamil Nadu,IN-TN
Karur,IN-TN-KR,Tamil Nadu,IN-TN
Krishnagiri,IN-TN-KS,Tamil Nadu,IN-TN
Madurai,IN-TN-MA,Tamil Nadu,IN-TN
Nagapattinam,IN-TN-NG,Tamil Nadu,IN-TN
Namakkal,IN-TN-NM,Tamil Nadu,IN-TN
Perambalur,IN-TN-PE,Tamil Nadu,IN-TN
Pudukkottai,IN-TN-PU,Tamil Nadu,IN-TN
Ramanathapuram,IN-TN-RA,Tamil Nadu,IN-TN
Ranipet,IN-TN-RN,Tamil Nadu,IN-TN
Salem,IN-TN-SA,Tamil Nadu,IN-TN
Sivagangai,IN-TN-SI,Tamil Nadu,IN-TN
Tenkasi,IN-TN-TE,Tamil Nadu,IN-TN
Thanjavur,IN-TN-TJ,Tamil Nadu,IN-TN
The Nilgiris,IN-TN-NI,Tamil Nadu,IN-TN
Theni,IN-TN-TH,Tamil Nadu,IN-TN
Thiruvallur,IN-TN-TL,Tamil Nadu,IN-TN
Thiruvarur,IN-TN-TR,Tamil Nadu,IN-TN
Thoothukudi,IN-TN-TK,Tamil Nadu,IN-TN
Tiruchirappalli,IN-TN-TC,Tamil Nadu,IN-TN
Tirunelveli,IN-TN-TI,Tamil Nadu,IN-TN
Tirupathur,IN-TN-TU,Tamil Nadu,IN-TN
Tiruppur,IN-TN-TP,Tamil Nadu,IN-TN
Tiruvannamalai,IN-TN-TV,Tamil Nadu,IN-TN
Vellore,IN-TN-VE,Tamil Nadu,IN-TN
Viluppuram,IN-TN-VL,Tamil Nadu,IN-TN
Virudhunagar,IN-TN-VR,Tamil Nadu,IN-TN
Adilabad,IN-TS-AD,Telangana,IN-TS
Bhadradri Kothagudem,IN-TS-BK,Telangana,IN-TS
Hyderabad,IN-TS-HY,Telangana,IN-TS
Jagitial,IN-TS-JA,Telangana,IN-TS
Jangaon,IN-TS-JN,Telangana,IN-TS
Jayashankar,IN-TS-JY,Telangana,IN-TS
Jogulamba Gadwal,IN-TS-JG,Telangana,IN-TS
Kamareddy,IN-TS-KM,Telangana,IN-TS
Karimnagar,IN-TS-KA,Telangana,IN-TS
Khammam,IN-TS-KH,Telangana,IN-TS
Kumuram Bheem Asifabad,IN-TS-KB,Telangana,IN-TS
Mahabubabad,IN-TS-MH,Telangana,IN-TS
Mahabubnagar,IN-TS-MA,Telangana,IN-TS
Mancherial,IN-TS-MN,Telangana,IN-TS
Medak,IN-TS-ME,Telangana,IN-TS
Medchal Malkajgiri,IN-TS-MM,Telangana,IN-TS
Mulugu,IN-TS-MU,Telangana,IN-TS
Nagarkurnool,IN-TS-NG,Telangana,IN-TS
Nalgonda,IN-TS-NA,Telangana,IN-TS
Narayanpet,IN-TS-NR,Telangana,IN-TS
Nirmal,IN-TS-NM,Telangana,IN-TS
Nizamabad,IN-TS-NI,Telangana,IN-TS
Peddapalli,IN-TS-PE,Telangana,IN-TS
Rajanna Sircilla,IN-TS-RS,Telangana,IN-TS
Ranga Reddy,IN-TS-RA,Telangana,IN-TS
Sangareddy,IN-TS-SR,Telangana,IN-TS
Siddipet,IN-TS-SI,Telangana,IN-TS
Suryapet,IN-TS-SU,Telangana,IN-TS
Vikarabad,IN-TS-VI,Telangana,IN-TS
Wanaparthy,IN-TS-WN,Telangana,IN-TS
Warangal Rural,IN-TS-WR,Telangana,IN-TS
Warangal Urban,IN-TS-WU,Telangana,IN-TS
Yadadri Bhuvanagiri,IN-TS-YB,Telangana,IN-TS
Dhalai,IN-TR-DH,Tripura,IN-TR
Gomati,IN-TR-GO,Tripura,IN-TR
Khowai,IN-TR-KH,Tripura,IN-TR
North Tripura,IN-TR-NT,Tripura,IN-TR
Sepahijala,IN-TR-SO,Tripura,IN-TR
South Tripura,IN-TR-ST,Tripura,IN-TR
Unakoti,IN-TR-UN,Tripura,IN-TR
West Tripura,IN-TR-WT,Tripura,IN-TR
Agra,IN-UP-AG,Uttar Pradesh,IN-UP
Aligarh,IN-UP-AL,Uttar Pradesh,IN-UP
Ambedkar Nagar,IN-UP-AN,Uttar Pradesh,IN-UP
Amethi,IN-UP-AE,Uttar Pradesh,IN-UP
Amroha,IN-UP-JP,Uttar Pradesh,IN-UP
Auraiya,IN-UP-AU,Uttar Pradesh,IN-UP
Ayodhya,IN-UP-FZ,Uttar Pradesh,IN-UP
Azamgarh,IN-UP-AZ,Uttar Pradesh,IN-UP
Baghpat,IN-UP-BG,Uttar Pradesh,IN-UP
Bahraich,IN-UP-BH,Uttar Pradesh,IN-UP
Ballia,IN-UP-BL,Uttar Pradesh,IN-UP
Balrampur,IN-UP-BP,Uttar Pradesh,IN-UP
Banda,IN-UP-BN,Uttar Pradesh,IN-UP
Barabanki,IN-UP-BB,Uttar Pradesh,IN-UP
Bareilly,IN-UP-BR,Uttar Pradesh,IN-UP
Basti,IN-UP-BS,Uttar Pradesh,IN-UP
Bhadohi,IN-UP-SR,Uttar Pradesh,IN-UP
Bijnor,IN-UP-BI,Uttar Pradesh,IN-UP
Budaun,IN-UP-BD,Uttar Pradesh,IN-UP
Bulandshahr,IN-UP-BU,Uttar Pradesh,IN-UP
Chandauli,IN-UP-CD,Uttar Pradesh,IN-UP
Chitrakoot,IN-UP-CT,Uttar Pradesh,IN-UP
Deoria,IN-UP-DE,Uttar Pradesh,IN-UP
Etah,IN-UP-ET,Uttar Pradesh,IN-UP
Etawah,IN-UP-EW,Uttar Pradesh,IN-UP
Farrukhabad,IN-UP-FR,Uttar Pradesh,IN-UP
Fatehpur,IN-UP-FT,Uttar Pradesh,IN-UP
Firozabad,IN-UP-FI,Uttar Pradesh,IN-UP
Gautam Buddha Nagar,IN-UP-GB,Uttar Pradesh,IN-UP
Ghaziabad,IN-UP-GZ,Uttar Pradesh,IN-UP
Ghazipur,IN-UP-GP,Uttar Pradesh,IN-UP
Gonda,IN-UP-GN,Uttar Pradesh,IN-UP
Gorakhpur,IN-UP-GR,Uttar Pradesh,IN-UP
Hamirpur,IN-UP-HM,Uttar Pradesh,IN-UP
Hapur,IN-UP-HP,Uttar Pradesh,IN-UP
Hardoi,IN-UP-HR,Uttar Pradesh,IN-UP
Hathras,IN-UP-HT,Uttar Pradesh,IN-UP
Jalaun,IN-UP-JL,Uttar Pradesh,IN-UP
Jaunpur,IN-UP-JU,Uttar Pradesh,IN-UP
Jhansi,IN-UP-JH,Uttar Pradesh,IN-UP
Kannauj,IN-UP-KJ,Uttar Pradesh,IN-UP
Kanpur Dehat,IN-UP-KD,Uttar Pradesh,IN-UP
Kanpur Nagar,IN-UP-KN,Uttar Pradesh,IN-UP
Kasganj,IN-UP-KM,Uttar Pradesh,IN-UP
Kaushambi,IN-UP-KS,Uttar Pradesh,IN-UP
Kushinagar,IN-UP-KU,Uttar Pradesh,IN-UP
Lakhimpur Kheri,IN-UP-LK,Uttar Pradesh,IN-UP
Lalitpur,IN-UP-LA,Uttar Pradesh,IN-UP
Lucknow,IN-UP-LU,Uttar Pradesh,IN-UP
Maharajganj,IN-UP-MG,Uttar Pradesh,IN-UP
Mahoba,IN-UP-MH,Uttar Pradesh,IN-UP
Mainpuri,IN-UP-MP,Uttar Pradesh,IN-UP
Mathura,IN-UP-MT,Uttar Pradesh,IN-UP
Mau,IN-UP-MA,Uttar Pradesh,IN-UP
Meerut,IN-UP-ME,Uttar Pradesh,IN-UP
Mirzapur,IN-UP-MI,Uttar Pradesh,IN-UP
Moradabad,IN-UP-MO,Uttar Pradesh,IN-UP
Muzaffarnagar,IN-UP-MU,Uttar Pradesh,IN-UP
Pilibhit,IN-UP-PI,Uttar Pradesh,IN-UP
Pratapgarh,IN-UP-PR,Uttar Pradesh,IN-UP
Prayagraj,IN-UP-AH,Uttar Pradesh,IN-UP
Raebareli,IN-UP-RB,Uttar Pradesh,IN-UP
Rampur,IN-UP-RA,Uttar Pradesh,IN-UP
Saharanpur,IN-UP-SA,Uttar Pradesh,IN-UP
Sambhal,IN-UP-SM,Uttar Pradesh,IN-UP
Sant Kabir Nagar,IN-UP-SK,Uttar Pradesh,IN-UP
Shahjahanpur,IN-UP-SJ,Uttar Pradesh,IN-UP
Shamli,IN-UP-SH,Uttar Pradesh,IN-UP
Shrawasti,IN-UP-SV,Uttar Pradesh,IN-UP
Siddharthnagar,IN-UP-SN,Uttar Pradesh,IN-UP
Sitapur,IN-UP-SI,Uttar Pradesh,IN-UP
Sonbhadra,IN-UP-SO,Uttar Pradesh,IN-UP
Sultanpur,IN-UP-SU,Uttar Pradesh,IN-UP
Unnao,IN-UP-UN,Uttar Pradesh,IN-UP
Varanasi,IN-UP-VA,Uttar Pradesh,IN-UP
Almora,IN-UL-AL,Uttarakhand,IN-UL
Bageshwar,IN-UL-BA,Uttarakhand,IN-UL
Chamoli,IN-UL-CL,Uttarakhand,IN-UL
Champawat,IN-UL-CP,Uttarakhand,IN-UL
Dehradun,IN-UL-DD,Uttarakhand,IN-UL
Haridwar,IN-UL-HA,Uttarakhand,IN-UL
Nainital,IN-UL-NA,Uttarakhand,IN-UL
Pauri Garhwal,IN-UL-PG,Uttarakhand,IN-UL
Pithoragarh,IN-UL-PI,Uttarakhand,IN-UL
Rudraprayag,IN-UL-RP,Uttarakhand,IN-UL
Tehri Garhwal,IN-UL-TG,Uttarakhand,IN-UL
Udham Singh Nagar,IN-UL-US,Uttarakhand,IN-UL
Uttarkashi,IN-UL-UT,Uttarakhand,IN-UL
Alipurduar,IN-WB-AL,West Bengal,IN-WB
Bankura,IN-WB-BN,West Bengal,IN-WB
Birbhum,IN-WB-BI,West Bengal,IN-WB
Cooch Behar,IN-WB-KB,West Bengal,IN-WB
Dakshin Dinajpur,IN-WB-DD,West Bengal,IN-WB
Darjeeling,IN-WB-DA,West Bengal,IN-WB
Hooghly,IN-WB-HG,West Bengal,IN-WB
Howrah,IN-WB-HR,West Bengal,IN-WB
Jalpaiguri,IN-WB-JA,West Bengal,IN-WB
Jhargram,IN-WB-JH,West Bengal,IN-WB
Kalimpong,IN-WB-KA,West Bengal,IN-WB
Kolkata,IN-WB-KO,West Bengal,IN-WB
Malda,IN-WB-MA,West Bengal,IN-WB
Murshidabad,IN-WB-MU,West Bengal,IN-WB
Nadia,IN-WB-NA,West Bengal,IN-WB
North 24 Parganas,IN-WB-PN,West Bengal,IN-WB
Paschim Bardhaman,IN-WB-PA,West Bengal,IN-WB
Paschim Medinipur,IN-WB-MW,West Bengal,IN-WB
Purba Bardhaman,IN-WB-PB,West Bengal,IN-WB
Purba Medinipur,IN-WB-ME,West Bengal,IN-WB
Purulia,IN-WB-PU,West Bengal,IN-WB
South 24 Parganas,IN-WB-PS,West Bengal,IN-WB
Uttar Dinajpur,IN-WB-UD,West Bengal,IN-WB
